repo_name,file_count,avg_size,max_size,avg_depth,max_depth,comment_density,import_freq,function_freq,py_ratio,js_ratio,java_ratio,dominant_ratio,main_language,complexity_score,readability_score,modularity_score,tech_focus_score,complexity_rank,readability_rank,modularity_rank
ForestAdmin/forest-express-mongoose,1,4082,4082,2,2,0.0019598236158745713,0,16,0,1,0,1,JavaScript,1.3862943611198906,0.19598236158745713,16,1,116181,100915,3189
AlloyTeam/AlloyLever,5,41708.000000000007,96795,2.6,3,0.0041116744927215875,0,79.4,0,1,0,1,JavaScript,4.658574619992943,0.41116744927215876,15.88,1,67060,64630,3305
Automattic/knox,2,8874,16894,1.5,2,0.0017332900085919394,0,30,0,0.5,0,0.5,JavaScript,1.6479184330021646,0.17332900085919395,15,0.5,111151,105202,3396
joelwking/ansible-ios,1,13097,13097,1,1,0.003283194624723219,8,15,1,0,0,1,Python,0.69314718055994529,0.32831946247232191,15,1,130218,77204,3396
timstuyckens/chromeextensions-knockoutjs,1,3731,3731,3,3,0.0032162958992227285,0,15,0,1,0,1,JavaScript,2.0794415416798357,0.32162958992227286,15,1,105799,78310,3396
stream-utils/destroy,1,1746,1746,2,2,0.001145475372279496,0,15,0,1,0,1,JavaScript,1.3862943611198906,0.11454753722794961,15,1,116181,115729,3396
trifonovkv/ping_indicator,1,5611,5611,1,1,0,0,14,0,1,0,1,JavaScript,0.69314718055994529,0,14,1,130218,132546,3579
tohyongcheng/pipspect,1,7123,7123,1,1,0.00098273199494594977,0,14,0,0,0,0,Python,0.69314718055994529,0.098273199494594982,14,0,130218,118411,3579
rannn505/wave.io,3,3922.333333333333,5563,1.3333333333333333,2,0.0029596222497111288,0,41.333333333333329,0,0.66666666666666663,0,0.66666666666666663,JavaScript,1.8483924814931874,0.29596222497111291,13.777777777777777,0.66666666666666663,109351,82646,3738
jmalarcon/WebNotificationsWrapper,1,962,962,1,1,0.0020833333333333333,0,13,0,1,0,1,JavaScript,0.69314718055994529,0.20833333333333334,13,1,130218,98548,3831
Venturocket/angular-stripe-js,3,4625,10534,2.6666666666666665,3,0.00061340958162387047,0,38.333333333333336,0,1,0,1,JavaScript,3.6967849629863747,0.061340958162387049,12.777777777777779,1,78398,124301,3979
